document
copy of signed agreement between manufacturer and authorized representative
copy of quality manual
copy of risk management report
copy of report of tests and studies
copy of report of stability studies
draft of labeling on medical device for ukrainian market
drawing of sticker location on device
draft of ifu for ukrainian market
draft of declaration of conformity according to ukrainian technical regulation
copy of ec declaration of conformity according to ec directive
check-list essential requirements annex 1 of ukrainian technical regulation
copy of essential requirements according to annex 1 of ec directive
copy of iso certificate iso 13485
part a of technical file
copy of manufacturer quality objectives for current year
copy of manufacturer organizational structure
confirmation letter from notified body regarding validity of ec certificate
copy of last audit report
copy of ec certificate issued by notified body
certification agreement
surveillance audit program
approved draft of the certificate
